"","Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"19","1S",18.3846680355921,"Female","People","People_184_h",19,"Neutral",0,-0.520833333333343,54.4270833333333,FALSE
"20","1S",18.3846680355921,"Female","People","People_163_v",20,"Neutral",0,-2.60416666666666,0,FALSE
"21","1S",18.3846680355921,"Female","Faces","Faces_293_h",21,"Negative",2.34375,-55.7291666666667,0.520833333333337,FALSE
"22","1S",18.3846680355921,"Female","Faces","Faces_010_h",22,"Negative",71.6145833333333,-15.625,0,TRUE
"23","1S",18.3846680355921,"Female","People","People_038_h",23,"Negative",99.7395833333333,-99.4791666666667,0,TRUE
"24","1S",18.3846680355921,"Female","People","People_208_h",24,"Negative",76.0416666666667,-97.3958333333333,0,FALSE
"25","1S",18.3846680355921,"Female","People","People_056_h",25,"Neutral",0,47.9166666666667,0,FALSE
"26","1S",18.3846680355921,"Female","People","People_238_h",26,"Negative",100,-97.9166666666667,0,TRUE
"27","1S",18.3846680355921,"Female","People","People_246_h",27,"Negative",86.4583333333333,-100,0,FALSE
"28","1S",18.3846680355921,"Female","People","People_102_h",28,"Neutral",10.4166666666667,-0.520833333333343,0,FALSE
"29","1S",18.3846680355921,"Female","Faces","Faces_343_h",29,"Neutral",0,0.520833333333343,0,FALSE
"30","1S",18.3846680355921,"Female","People","People_220_h",30,"Negative",78.6458333333333,-2.08333333333334,1.04166666666666,FALSE
"31","1S",18.3846680355921,"Female","Faces","Faces_341_h",31,"Neutral",0,51.5625,0,TRUE
"32","1S",18.3846680355921,"Female","Faces","Faces_251_v",32,"Neutral",0,0,0,FALSE
"33","1S",18.3846680355921,"Female","Faces","Faces_196_h",33,"Neutral",0.78125,0,0,FALSE
"34","1S",18.3846680355921,"Female","Faces","Faces_064_h",34,"Neutral",0.260416666666663,99.4791666666667,63.28125,TRUE
"35","1S",18.3846680355921,"Female","Faces","Faces_365_v",35,"Negative",54.9479166666667,2.60416666666666,1.82291666666666,TRUE
"36","1S",18.3846680355921,"Female","People","People_211_v",36,"Negative",77.34375,-100,0,FALSE
"37","1S",18.3846680355921,"Female","People","People_237_h",37,"Negative",100,-100,1.04166666666666,TRUE
"38","1S",18.3846680355921,"Female","Faces","Faces_367_h",38,"Negative",100,-100,0,FALSE
"39","1S",18.3846680355921,"Female","Faces","Faces_172_h",39,"Negative",50.5208333333333,2.08333333333334,0,TRUE
"40","1S",18.3846680355921,"Female","Faces","Faces_207_h",40,"Neutral",0,-1.5625,1.30208333333334,TRUE
"41","1S",18.3846680355921,"Female","People","People_114_h",41,"Neutral",1.30208333333334,44.7916666666667,100,TRUE
"42","1S",18.3846680355921,"Female","Faces","Faces_149_v",42,"Negative",74.4791666666667,-48.9583333333333,0,FALSE
"43","1S",18.3846680355921,"Female","People","People_227_h",43,"Negative",75.78125,-100,0,FALSE
"44","1S",18.3846680355921,"Female","People","People_097_h",44,"Neutral",0,0,0,FALSE
"45","1S",18.3846680355921,"Female","Faces","Faces_371_v",45,"Negative",98.9583333333333,-100,0,FALSE
"46","1S",18.3846680355921,"Female","People","People_104_h",46,"Neutral",0,-1.04166666666666,1.04166666666666,FALSE
"47","1S",18.3846680355921,"Female","Faces","Faces_195_v",47,"Neutral",0,1.04166666666666,0,TRUE
"48","1S",18.3846680355921,"Female","People","People_063_h",48,"Neutral",2.08333333333334,100,1.30208333333334,TRUE
"49","2S",23.5975359342916,"Female","People","People_056_h",1,"Neutral",50,0,61.71875,FALSE
"50","2S",23.5975359342916,"Female","Faces","Faces_045_h",2,"Neutral",37.2395833333333,46.3541666666667,33.59375,FALSE
"51","2S",23.5975359342916,"Female","People","People_184_h",3,"Neutral",81.7708333333333,100,76.8229166666667,FALSE
"52","2S",23.5975359342916,"Female","Faces","Faces_010_h",4,"Negative",84.375,-56.25,36.4583333333333,TRUE
"53","2S",23.5975359342916,"Female","People","People_128_h",5,"Negative",83.3333333333333,-35.9375,35.9375,TRUE
"54","2S",23.5975359342916,"Female","People","People_102_h",6,"Neutral",69.7916666666667,23.9583333333333,76.5625,FALSE
"55","2S",23.5975359342916,"Female","People","People_149_h",7,"Neutral",34.1145833333333,15.625,37.5,TRUE
"56","2S",23.5975359342916,"Female","Faces","Faces_149_v",8,"Negative",79.6875,-22.9166666666667,61.9791666666667,TRUE
"57","2S",23.5975359342916,"Female","People","People_104_h",9,"Neutral",44.2708333333333,12.5,35.4166666666667,FALSE
"58","2S",23.5975359342916,"Female","Faces","Faces_319_v",10,"Neutral",62.2395833333333,16.6666666666667,84.8958333333333,TRUE
"59","2S",23.5975359342916,"Female","People","People_138_h",11,"Neutral",68.75,33.8541666666667,72.9166666666667,TRUE
"60","2S",23.5975359342916,"Female","Faces","Faces_172_h",12,"Negative",67.7083333333333,-26.5625,36.1979166666667,FALSE
"61","2S",23.5975359342916,"Female","Faces","Faces_315_h",13,"Neutral",41.1458333333333,0.520833333333343,38.5416666666667,TRUE
"62","2S",23.5975359342916,"Female","People","People_246_h",14,"Negative",73.6979166666667,-30.2083333333333,31.7708333333333,FALSE
"63","2S",23.5975359342916,"Female","People","People_237_h",15,"Negative",100,-100,0,FALSE
"64","2S",23.5975359342916,"Female","Faces","Faces_293_h",16,"Negative",82.03125,-39.0625,81.7708333333333,FALSE
"65","2S",23.5975359342916,"Female","Faces","Faces_343_h",17,"Neutral",54.6875,33.8541666666667,27.8645833333333,TRUE
"66","2S",23.5975359342916,"Female","Faces","Faces_196_h",18,"Neutral",42.1875,40.1041666666667,29.6875,FALSE
"67","2S",23.5975359342916,"Female","Faces","Faces_064_h",19,"Neutral",43.2291666666667,45.8333333333333,75,TRUE
"68","2S",23.5975359342916,"Female","Faces","Faces_207_h",20,"Neutral",71.09375,46.875,70.8333333333333,TRUE
"69","2S",23.5975359342916,"Female","People","People_038_h",21,"Negative",88.8020833333333,-70.8333333333333,76.8229166666667,TRUE
"70","2S",23.5975359342916,"Female","Faces","Faces_170_h",22,"Negative",72.65625,51.0416666666667,77.0833333333333,TRUE
"71","2S",23.5975359342916,"Female","Faces","Faces_341_h",23,"Neutral",26.3020833333333,48.9583333333333,66.40625,TRUE
"72","2S",23.5975359342916,"Female","People","People_222_h",24,"Negative",84.6354166666667,-54.1666666666667,51.8229166666667,FALSE
"73","2S",23.5975359342916,"Female","Faces","Faces_016_h",25,"Negative",92.96875,-64.5833333333333,78.3854166666667,TRUE
"74","2S",23.5975359342916,"Female","People","People_208_h",26,"Negative",77.34375,-69.7916666666667,19.0104166666667,FALSE
"75","2S",23.5975359342916,"Female","People","People_097_h",27,"Neutral",14.84375,-0.520833333333343,42.96875,FALSE
"76","2S",23.5975359342916,"Female","People","People_227_h",28,"Negative",63.0208333333333,28.6458333333333,72.1354166666667,FALSE
"77","2S",23.5975359342916,"Female","People","People_211_v",29,"Negative",87.7604166666667,-77.6041666666667,16.6666666666667,TRUE
"78","2S",23.5975359342916,"Female","People","People_063_h",30,"Neutral",71.875,84.8958333333333,79.1666666666667,FALSE
"79","2S",23.5975359342916,"Female","Faces","Faces_224_h",31,"Neutral",30.7291666666667,46.3541666666667,28.90625,FALSE
"80","2S",23.5975359342916,"Female","People","People_163_v",32,"Neutral",22.9166666666667,55.7291666666667,39.84375,FALSE
"81","2S",23.5975359342916,"Female","Faces","Faces_371_v",33,"Negative",72.65625,-39.5833333333333,28.6458333333333,FALSE
"82","2S",23.5975359342916,"Female","People","People_148_h",34,"Neutral",39.0625,-23.4375,67.7083333333333,FALSE
"83","2S",23.5975359342916,"Female","People","People_158_h",35,"Neutral",28.6458333333333,38.5416666666667,90.1041666666667,FALSE
"84","2S",23.5975359342916,"Female","Faces","Faces_365_v",36,"Negative",86.9791666666667,-78.125,NA,TRUE
"85","2S",23.5975359342916,"Female","Faces","Faces_251_v",37,"Neutral",41.1458333333333,38.0208333333333,67.96875,FALSE
"86","2S",23.5975359342916,"Female","People","People_238_h",38,"Negative",93.2291666666667,-92.1875,31.5104166666667,TRUE
"87","2S",23.5975359342916,"Female","People","People_201_v",39,"Negative",75.78125,-51.0416666666667,23.9583333333333,TRUE
"88","2S",23.5975359342916,"Female","People","People_226_h",40,"Negative",68.4895833333333,-30.7291666666667,30.46875,TRUE
"89","2S",23.5975359342916,"Female","Faces","Faces_195_v",41,"Neutral",33.3333333333333,54.6875,11.9791666666667,FALSE
"90","2S",23.5975359342916,"Female","Faces","Faces_366_h",42,"Negative",78.3854166666667,-48.4375,19.53125,FALSE
"91","2S",23.5975359342916,"Female","Faces","Faces_367_h",43,"Negative",77.34375,-46.3541666666667,63.0208333333333,TRUE
"92","2S",23.5975359342916,"Female","People","People_114_h",44,"Neutral",80.46875,66.1458333333333,56.25,FALSE
"93","2S",23.5975359342916,"Female","Faces","Faces_364_v",45,"Negative",92.4479166666667,-73.4375,24.7395833333333,FALSE
"94","2S",23.5975359342916,"Female","People","People_220_h",46,"Negative",88.5416666666667,-80.2083333333333,21.875,TRUE
"95","2S",23.5975359342916,"Female","Faces","Faces_362_v",47,"Negative",67.4479166666667,42.1875,76.5625,FALSE
"96","2S",23.5975359342916,"Female","Faces","Faces_057_h",48,"Neutral",26.0416666666667,69.2708333333333,76.0416666666667,FALSE
"97","3S",22.1190965092403,"Female","People","People_184_h",1,"Neutral",7.35724743777453,1.46412884333822,66.8374816983895,FALSE
"98","3S",22.1190965092403,"Female","Faces","Faces_362_v",2,"Negative",27.1229868228404,-38.4333821376281,38.6530014641288,TRUE
"99","3S",22.1190965092403,"Female","Faces","Faces_016_h",3,"Negative",65.9224011713031,-88.9458272327965,65.190336749634,TRUE
"100","3S",22.1190965092403,"Female","People","People_227_h",4,"Negative",66.8374816983895,-46.8521229868228,60.4319180087848,FALSE
"101","3S",22.1190965092403,"Female","People","People_238_h",5,"Negative",80.3806734992679,-71.7423133235725,64.8243045387994,FALSE
"102","3S",22.1190965092403,"Female","People","People_102_h",6,"Neutral",38.4699853587115,36.9692532942899,75.2562225475842,FALSE
"103","3S",22.1190965092403,"Female","Faces","Faces_196_h",7,"Neutral",27.8550512445095,27.4524158125915,40.4831625183016,FALSE
"104","3S",22.1190965092403,"Female","Faces","Faces_371_v",8,"Negative",86.7862371888726,-76.8667642752562,39.5680819912152,TRUE
"105","3S",22.1190965092403,"Female","Faces","Faces_057_h",9,"Neutral",18.887262079063,35.5051244509517,39.385065885798,FALSE
"106","3S",22.1190965092403,"Female","Faces","Faces_343_h",10,"Neutral",20.900439238653,23.0600292825769,62.8111273792094,FALSE
"107","3S",22.1190965092403,"Female","Faces","Faces_010_h",11,"Negative",61.3469985358712,-35.8711566617862,63.5431918008785,FALSE
"108","3S",22.1190965092403,"Female","People","People_226_h",12,"Negative",66.6544655929722,-69.1800878477306,69.2166910688141,FALSE
"109","3S",22.1190965092403,"Female","Faces","Faces_319_v",13,"Neutral",15.9590043923865,6.58857979502194,71.4128843338214,FALSE
"110","3S",22.1190965092403,"Female","People","People_063_h",14,"Neutral",26.207906295754,79.4289897510981,59.5168374816984,FALSE
"111","3S",22.1190965092403,"Female","Faces","Faces_366_h",15,"Negative",50,31.8448023426062,79.099560761347,FALSE
"112","3S",22.1190965092403,"Female","People","People_237_h",16,"Negative",29.8682284040996,18.3016105417277,35.5417276720351,FALSE
"113","3S",22.1190965092403,"Female","Faces","Faces_045_h",17,"Neutral",15.592972181552,0.366032210834533,64.0922401171303,FALSE
"114","3S",22.1190965092403,"Female","Faces","Faces_365_v",18,"Negative",80.5636896046852,-75.0366032210835,18.3382137628111,TRUE
"115","3S",22.1190965092403,"Female","Faces","Faces_251_v",19,"Neutral",31.5153733528551,-26.7203513909224,12.8477306002928,FALSE
"116","3S",22.1190965092403,"Female","Faces","Faces_195_v",20,"Neutral",33.3455344070278,43.5578330893119,21.0834553440703,TRUE
"117","3S",22.1190965092403,"Female","People","People_114_h",21,"Neutral",14.8609077598829,32.2108345534407,24.3777452415813,FALSE
"118","3S",22.1190965092403,"Female","Faces","Faces_315_h",22,"Neutral",12.6647144948756,-1.09809663250364,26.3909224011713,FALSE
"119","3S",22.1190965092403,"Female","Faces","Faces_341_h",23,"Neutral",20.7174231332357,-2.56222547584186,28.0380673499268,FALSE
"120","3S",22.1190965092403,"Female","People","People_038_h",24,"Negative",58.0527086383602,-67.7159590043924,57.8696925329429,TRUE
"121","3S",22.1190965092403,"Female","People","People_056_h",25,"Neutral",9.9194729136164,2.56222547584186,34.4436310395315,FALSE
"122","3S",22.1190965092403,"Female","Faces","Faces_172_h",26,"Negative",72.8770131771596,-95.1683748169839,62.6281112737921,FALSE
"123","3S",22.1190965092403,"Female","Faces","Faces_149_v",27,"Negative",23.4626647144949,-100,14.4948755490483,FALSE
"124","3S",22.1190965092403,"Female","People","People_149_h",28,"Neutral",23.2796486090776,-38.4333821376281,17.9721815519766,FALSE
"125","3S",22.1190965092403,"Female","People","People_163_v",29,"Neutral",11.7496339677892,1.46412884333822,23.4626647144949,FALSE
"126","3S",22.1190965092403,"Female","Faces","Faces_364_v",30,"Negative",100,-100,15.592972181552,FALSE
"127","3S",22.1190965092403,"Female","People","People_128_h",31,"Negative",69.7657393850659,-55.6368960468521,12.8477306002928,TRUE
"128","3S",22.1190965092403,"Female","Faces","Faces_064_h",32,"Neutral",24.7437774524158,35.8711566617862,66.1054172767203,TRUE
"129","3S",22.1190965092403,"Female","Faces","Faces_224_h",33,"Neutral",12.4816983894583,69.9121522693997,14.6778916544656,FALSE
"130","3S",22.1190965092403,"Female","People","People_208_h",34,"Negative",35.3587115666179,-80.8931185944363,24.5607613469985,FALSE
"131","3S",22.1190965092403,"Female","Faces","Faces_170_h",35,"Negative",22.5475841874085,-67.7159590043924,68.3016105417277,TRUE
"132","3S",22.1190965092403,"Female","People","People_246_h",36,"Negative",6.62518301610542,-58.199121522694,25.1098096632504,FALSE
"133","3S",22.1190965092403,"Female","Faces","Faces_367_h",37,"Negative",15.592972181552,-94.4363103953148,56.2225475841874,FALSE
"134","3S",22.1190965092403,"Female","Faces","Faces_293_h",38,"Negative",35.7247437774524,-72.8404099560761,66.4714494875549,FALSE
"135","3S",22.1190965092403,"Female","People","People_201_v",39,"Negative",30.2342606149341,-100,10.2855051244509,FALSE
"136","3S",22.1190965092403,"Female","People","People_211_v",40,"Negative",57.8696925329429,-100,23.6456808199122,FALSE
"137","3S",22.1190965092403,"Female","People","People_158_h",41,"Neutral",30.9663250366032,10.2489019033675,43.5944363103953,TRUE
"138","3S",22.1190965092403,"Female","Faces","Faces_207_h",42,"Neutral",70.8638360175695,87.1156661786237,21.9985358711567,FALSE
"139","3S",22.1190965092403,"Female","People","People_148_h",43,"Neutral",26.7569546120058,70.6442166910688,27.1229868228404,FALSE
"140","3S",22.1190965092403,"Female","People","People_097_h",44,"Neutral",18.5212298682284,59.6632503660322,65.0073206442167,TRUE
"141","3S",22.1190965092403,"Female","People","People_222_h",45,"Negative",29.6852122986823,-64.0556368960468,65.190336749634,FALSE
"142","3S",22.1190965092403,"Female","People","People_220_h",46,"Negative",99.597364568082,-32.5768667642753,24.3777452415813,TRUE
"143","3S",22.1190965092403,"Female","People","People_104_h",47,"Neutral",34.4436310395315,-62.5915080527086,24.3777452415813,TRUE
"144","3S",22.1190965092403,"Female","People","People_138_h",48,"Neutral",20.1683748169839,71.0102489019034,29.1361639824305,TRUE
"145","4S",21.9329226557153,"Female","People","People_148_h",1,"Neutral",0,-52.0833333333333,78.90625,FALSE
"146","4S",21.9329226557153,"Female","People","People_102_h",2,"Neutral",19.0104166666667,54.1666666666667,64.84375,FALSE
"147","4S",21.9329226557153,"Female","People","People_211_v",3,"Negative",66.6666666666667,-100,20.5729166666667,FALSE
"148","4S",21.9329226557153,"Female","Faces","Faces_367_h",4,"Negative",61.1979166666667,-39.0625,9.63541666666666,TRUE
"149","4S",21.9329226557153,"Female","Faces","Faces_365_v",5,"Negative",35.15625,-87.5,74.4791666666667,TRUE
"150","4S",21.9329226557153,"Female","People","People_226_h",6,"Negative",71.3541666666667,-86.9791666666667,10.6770833333333,FALSE
"151","4S",21.9329226557153,"Female","People","People_237_h",7,"Negative",16.6666666666667,-31.25,77.8645833333333,TRUE
"152","4S",21.9329226557153,"Female","Faces","Faces_170_h",8,"Negative",17.7083333333333,-83.8541666666667,0,TRUE
"153","4S",21.9329226557153,"Female","Faces","Faces_366_h",9,"Negative",57.2916666666667,-100,74.21875,FALSE
"154","4S",21.9329226557153,"Female","People","People_158_h",10,"Neutral",66.9270833333333,100,100,TRUE
"155","4S",21.9329226557153,"Female","Faces","Faces_315_h",11,"Neutral",0,2.08333333333334,65.3645833333333,FALSE
"156","4S",21.9329226557153,"Female","People","People_227_h",12,"Negative",57.2916666666667,-77.0833333333333,0,FALSE
"157","4S",21.9329226557153,"Female","People","People_138_h",13,"Neutral",0,75,86.71875,TRUE
"158","4S",21.9329226557153,"Female","Faces","Faces_207_h",14,"Neutral",0,-0.520833333333343,0,FALSE
"159","4S",21.9329226557153,"Female","People","People_184_h",15,"Neutral",32.8125,100,100,TRUE
"160","4S",21.9329226557153,"Female","People","People_201_v",16,"Negative",66.9270833333333,-100,22.9166666666667,TRUE
"161","4S",21.9329226557153,"Female","Faces","Faces_195_v",17,"Neutral",18.75,100,70.8333333333333,FALSE
"162","4S",21.9329226557153,"Female","People","People_038_h",18,"Negative",66.1458333333333,-100,36.1979166666667,FALSE
"163","4S",21.9329226557153,"Female","Faces","Faces_319_v",19,"Neutral",5.72916666666666,67.7083333333333,99.4791666666667,TRUE
"164","4S",21.9329226557153,"Female","Faces","Faces_341_h",20,"Neutral",11.4583333333333,33.8541666666667,29.4270833333333,TRUE
"165","4S",21.9329226557153,"Female","People","People_128_h",21,"Negative",60.6770833333333,-96.3541666666667,86.71875,TRUE
"166","4S",21.9329226557153,"Female","People","People_104_h",22,"Neutral",24.4791666666667,49.4791666666667,24.21875,FALSE
"167","4S",21.9329226557153,"Female","People","People_063_h",23,"Neutral",28.125,39.5833333333333,20.0520833333333,FALSE
"168","4S",21.9329226557153,"Female","People","People_246_h",24,"Negative",21.3541666666667,-13.0208333333333,52.6041666666667,FALSE
"169","4S",21.9329226557153,"Female","Faces","Faces_224_h",25,"Neutral",24.21875,43.75,47.1354166666667,TRUE
"170","4S",21.9329226557153,"Female","People","People_238_h",26,"Negative",68.2291666666667,-100,18.75,TRUE
"171","4S",21.9329226557153,"Female","People","People_220_h",27,"Negative",69.7916666666667,-100,0,TRUE
"172","4S",21.9329226557153,"Female","Faces","Faces_172_h",28,"Negative",8.59375,-44.2708333333333,77.34375,TRUE
"173","4S",21.9329226557153,"Female","Faces","Faces_362_v",29,"Negative",31.25,-100,45.8333333333333,FALSE
"174","4S",21.9329226557153,"Female","Faces","Faces_016_h",30,"Negative",12.2395833333333,-34.8958333333333,6.51041666666666,FALSE
"175","4S",21.9329226557153,"Female","Faces","Faces_010_h",31,"Negative",63.8020833333333,-100,67.4479166666667,FALSE
"176","4S",21.9329226557153,"Female","Faces","Faces_064_h",32,"Neutral",15.625,0.520833333333343,6.51041666666666,FALSE
"177","4S",21.9329226557153,"Female","People","People_149_h",33,"Neutral",8.33333333333334,-27.6041666666667,14.3229166666667,FALSE
"178","4S",21.9329226557153,"Female","Faces","Faces_251_v",34,"Neutral",87.7604166666667,-35.9375,85.6770833333333,FALSE
"179","4S",21.9329226557153,"Female","Faces","Faces_343_h",35,"Neutral",59.1145833333333,-64.5833333333333,48.4375,FALSE
"180","4S",21.9329226557153,"Female","Faces","Faces_045_h",36,"Neutral",10.4166666666667,1.5625,84.375,TRUE
"181","4S",21.9329226557153,"Female","Faces","Faces_149_v",37,"Negative",64.3229166666667,-100,66.1458333333333,TRUE
"182","4S",21.9329226557153,"Female","Faces","Faces_196_h",38,"Neutral",0,0,18.75,TRUE
"183","4S",21.9329226557153,"Female","People","People_056_h",39,"Neutral",23.6979166666667,42.7083333333333,19.0104166666667,FALSE
