"","Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"1","1S",18.3846680355921,"Female","People","People_158_h",1,"Neutral",12.2395833333333,0.520833333333343,63.28125,TRUE
"2","1S",18.3846680355921,"Female","Faces","Faces_045_h",2,"Neutral",16.40625,4.16666666666666,22.1354166666667,FALSE
"3","1S",18.3846680355921,"Female","People","People_138_h",3,"Neutral",25.5208333333333,25.5208333333333,55.9895833333333,TRUE
"4","1S",18.3846680355921,"Female","People","People_148_h",4,"Neutral",0,0,44.7916666666667,FALSE
"5","1S",18.3846680355921,"Female","Faces","Faces_315_h",5,"Neutral",25.78125,45.8333333333333,30.2083333333333,FALSE
"6","1S",18.3846680355921,"Female","Faces","Faces_224_h",6,"Neutral",2.60416666666666,0,8.07291666666666,FALSE
"7","1S",18.3846680355921,"Female","Faces","Faces_016_h",7,"Negative",25,-32.8125,0,FALSE
"8","1S",18.3846680355921,"Female","Faces","Faces_170_h",8,"Negative",51.3020833333333,-1.04166666666666,15.3645833333333,FALSE
"9","1S",18.3846680355921,"Female","Faces","Faces_362_v",9,"Negative",75.2604166666667,-2.08333333333334,0,FALSE
"10","1S",18.3846680355921,"Female","Faces","Faces_366_h",10,"Negative",72.1354166666667,1.04166666666666,2.08333333333334,FALSE
"11","1S",18.3846680355921,"Female","People","People_226_h",11,"Negative",67.4479166666667,-36.9791666666667,32.8125,TRUE
"12","1S",18.3846680355921,"Female","People","People_201_v",12,"Negative",68.2291666666667,-65.1041666666667,4.6875,FALSE
"13","1S",18.3846680355921,"Female","People","People_149_h",13,"Neutral",17.4479166666667,1.5625,0,FALSE
"14","1S",18.3846680355921,"Female","Faces","Faces_057_h",14,"Neutral",3.38541666666666,-2.08333333333334,1.82291666666666,FALSE
"15","1S",18.3846680355921,"Female","Faces","Faces_364_v",15,"Negative",100,-82.2916666666667,0,FALSE
"16","1S",18.3846680355921,"Female","People","People_222_h",16,"Negative",64.84375,-37.5,0.78125,FALSE
"17","1S",18.3846680355921,"Female","Faces","Faces_319_v",17,"Neutral",0,-2.60416666666666,82.2916666666667,FALSE
"18","1S",18.3846680355921,"Female","People","People_128_h",18,"Negative",100,-1.5625,4.16666666666666,FALSE
